threshold,false_negatives,false_positives,total_cost
0.01,0,56528,56528
0.02,0,56520,56520
0.03,0,56498,56498
0.04,0,56463,56463
0.05,1,56371,56381
0.060000000000000005,2,56253,56273
0.06999999999999999,5,56065,56115
0.08,6,55825,55885
0.09,11,55503,55613
0.09999999999999999,12,55142,55262
0.11,20,54687,54887
0.12,29,54149,54439
0.13,39,53523,53913
0.14,49,52907,53397
0.15000000000000002,61,52146,52756
0.16,72,51404,52124
0.17,90,50604,51504
0.18000000000000002,103,49708,50738
0.19,123,48860,50090
0.2,142,47901,49321
0.21000000000000002,162,46919,48539
0.22,187,45972,47842
0.23,206,44927,46987
0.24000000000000002,226,43861,46121
0.25,260,42858,45458
0.26,294,41747,44687
0.27,334,40606,43946
0.28,374,39532,43272
0.29000000000000004,416,38435,42595
0.3,455,37305,41855
0.31,491,36225,41135
0.32,522,35142,40362
0.33,575,34072,39822
0.34,622,33010,39230
0.35000000000000003,671,32014,38724
0.36000000000000004,721,30916,38126
0.37,778,29857,37637
0.38,829,28762,37052
0.39,882,27723,36543
0.4,947,26737,36207
0.41000000000000003,1005,25779,35829
0.42000000000000004,1051,24802,35312
0.43,1132,23843,35163
0.44,1202,22901,34921
0.45,1250,22021,34521
0.46,1317,21137,34307
0.47000000000000003,1390,20265,34165
0.48000000000000004,1476,19373,34133
0.49,1541,18488,33898
0.5,1594,17651,33591
0.51,1672,16830,33550
0.52,1761,16038,33648
0.53,1838,15278,33658
0.54,1924,14494,33734
0.55,2008,13759,33839
0.56,2087,13055,33925
0.5700000000000001,2181,12344,34154
0.5800000000000001,2278,11649,34429
0.59,2347,10996,34466
0.6,2421,10356,34566
0.61,2501,9750,34760
0.62,2590,9151,35051
0.63,2670,8544,35244
0.64,2732,7993,35313
0.65,2820,7417,35617
0.66,2910,6908,36008
0.67,2989,6403,36293
0.68,3071,5923,36633
0.6900000000000001,3161,5508,37118
0.7000000000000001,3257,5057,37627
0.7100000000000001,3345,4662,38112
0.72,3414,4286,38426
0.73,3499,3888,38878
0.74,3597,3527,39497
0.75,3686,3183,40043
0.76,3775,2836,40586
0.77,3876,2513,41273
0.78,3976,2241,42001
0.79,4050,1970,42470
0.8,4130,1724,43024
0.81,4218,1522,43702
0.8200000000000001,4298,1335,44315
0.8300000000000001,4369,1135,44825
0.8400000000000001,4443,936,45366
0.85,4522,761,45981
0.86,4599,618,46608
0.87,4646,484,46944
0.88,4719,368,47558
0.89,4756,279,47839
0.9,4807,201,48271
0.91,4841,146,48556
0.92,4886,84,48944
0.93,4918,41,49221
0.9400000000000001,4940,25,49425
0.9500000000000001,4952,11,49531
0.9600000000000001,4961,1,49611
0.97,4965,0,49650
0.98,4965,0,49650
0.99,4965,0,49650
